Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6      Egz.
Vardas1                 Pavarde1                      9         1         9        10         8         7         5
Vardas2                 Pavarde2                      5         4         9         7         2         3         3
Vardas3                 Pavarde3                      5         5         6         5         8         4         3
Vardas4                 Pavarde4                      7         1         7         4         2         4         1
Vardas5                 Pavarde5                      1         8         2         6        10         4        10
Vardas6                 Pavarde6                      6         1         3         2         3         3         5
Vardas7                 Pavarde7                      1         8         7         4         8         2         8
Vardas8                 Pavarde8                      4         6         4         5         5        10         7
Vardas9                 Pavarde9                      8         1         9         3         1         7         5
Vardas10               Pavarde10                      2         3        10         9        10         6         2
Vardas11               Pavarde11                      3         5         1         9         5         5         3
Vardas12               Pavarde12                      6         9         7         8         9         6         3
Vardas13               Pavarde13                      7         6        10         6        10        10        10
Vardas14               Pavarde14                      1         9         3         9         5         1         3
Vardas15               Pavarde15                     10         5         3         7         9         9         3
Vardas16               Pavarde16                      2         8         5         2         2         6         2
Vardas17               Pavarde17                      3         8         4         2         6         6         5
Vardas18               Pavarde18                      7         5         2         9         5        10         9
Vardas19               Pavarde19                      7         6         9         1         3         3         4
Vardas20               Pavarde20                      3         5        10         3         7         3         5
Vardas21               Pavarde21                     10         4         5         5         8         3         9
Vardas22               Pavarde22                      3         7         2         2         4         2         8
Vardas23               Pavarde23                      7         6         9         1         4         9         4
Vardas24               Pavarde24                      9         9         7         3         9         9         1
Vardas25               Pavarde25                      5         5         9         6         9         5         2
Vardas26               Pavarde26                      6         7         7         4         3         7         6
Vardas27               Pavarde27                      1         5         9         1        10         3         6
Vardas28               Pavarde28                     10         6         8         8         6         4         2
Vardas29               Pavarde29                      6         2        10         7        10         8         8
Vardas30               Pavarde30                      3         4         5         1         4         1         6
Vardas31               Pavarde31                      1         3         7         9         9         8         3
Vardas32               Pavarde32                      6         9         1         4        10         1         7
Vardas33               Pavarde33                      6         3         1         2        10         8         8
Vardas34               Pavarde34                      2         7         2         4         6         2         7
Vardas35               Pavarde35                      3         8         4         8         7         3         1
Vardas36               Pavarde36                      6         8         2         4         3         8         3
Vardas37               Pavarde37                      8         5        10        10         7         7         6
Vardas38               Pavarde38                      6         5         9         4         8         9        10
